순위,종목,코드,점수,매출성장,영업익성장,영업이익률,ROE,부채비율,순익상승추세,비고
1,에코프로비엠,247540,10.2,-0.08502897071795246,-5.201482597771052,0.056608957416551406,0.04543014604302357,1.4216285868501897,0.5,
2,에코프로,086520,13.9,0.09117065845334649,-1.7294719648932049,0.06263174997310057,-0.02351953821309084,1.1791900212927973,0.5,
3,HLB,028300,29.6,0.23554753104161374,-0.1206486713803987,-1.2381388772031243,-0.47615008113665824,0.8813748670298814,0.5,
4,알테오젠,196170,100.0,1.0986798383782483,3.208003289835541,0.495231226087512,0.31945260692733174,0.5375803108360273,1.0,
5,리가켐바이오,141080,45.4,0.12434598493692639,4.091731399435516,-0.7522681253874939,-0.16918999195631357,0.2969665092835815,0.5,
6,클래시스,214150,100.0,0.38643727792893356,0.3933131280084834,0.5065051288367477,0.23921762005548647,0.2772929983251447,1.0,
7,레인보우로보틱스,277810,35.0,0.763761716448563,-0.16741088745442045,-0.07268581656463804,,0.0707959375938206,,
8,파마리서치,214450,100.0,0.5317510351486716,0.7008684713031506,0.3997764471633033,0.23243630997376707,0.4420781043045471,1.0,
9,리노공업,058470,100.0,0.3391537709881829,0.42508271465573344,0.4751167627392961,0.20781828741373656,0.08302467100754368,1.0,
10,주성엔지니어링,036930,26.1,-0.2410903390867042,-0.6784050403682695,0.10060688046647169,0.06045053731850733,0.5037395886245621,0.5,
11,솔브레인,357780,37.8,0.06952612773766687,-0.2042667761746656,0.14473144410030636,0.07555869275152773,0.30153091249138464,0.0,
12,휴젤,145020,74.0,0.13956180715385758,0.2082797030646495,0.4724691037188483,0.1499489933465939,0.09863269604557805,1.0,
13,덴티움,145720,31.4,-0.1504524627262176,-0.3491109771066827,0.18504998998988106,0.02909378579333047,0.6621184281689606,0.0,
14,엘앤에프,066970,10.8,0.12973171159321928,-0.7192517363031714,-0.07278625796972538,-0.7900154538600137,3.630605255557142,0.0,
15,카카오게임즈,293490,0.0,-0.2586125794126424,-3.0675222710143806,-0.08513789332670901,-0.11943881344053582,1.234417125327235,0.5,
16,씨젠,096530,34.1,0.14479083132284987,-3.0965647529994254,0.07285430113734438,0.047691076399869234,0.21655671920393801,0.5,
17,셀트리온제약,068760,64.6,0.12256315127761441,0.5069140113612343,0.1045707533929466,0.08888755677996102,0.7419833479627389,1.0,
18,JYP Ent.,035900,91.4,0.3656882389580973,0.21038006730965275,0.18889726666676807,0.256923053116123,0.36185822253103744,0.5,
19,에스엠,041510,86.2,0.18713219009050563,1.0966883041724453,0.15578215426190498,0.264482215207201,0.4776209153858226,0.5,
20,펄어비스,263750,32.7,0.06770227331333345,0.20458177048122184,-0.040505911897866634,-0.010530458766221223,0.43798680295630055,0.5,
21,피에스케이홀딩스,031980,48.1,-0.0359339272421314,-0.17045160515759772,0.35328978864745736,0.18106037237368208,0.15502547801688757,0.5,
22,원익IPS,240810,69.8,0.2160174855452346,5.936351561228063,0.08113264405276606,0.08662598826214911,0.20063664164333314,1.0,
23,포스코DX,022100,24.8,-0.27022183437602987,-0.4459354526988717,0.05616626660420295,0.09190989085157936,0.4573003368865465,0.0,
24,에스티팜,237690,78.4,0.21161517969560584,0.9836590379485135,0.16561846162898197,0.09200945349438945,0.3196662547952883,1.0,
25,컴투스,078340,11.6,0.0035749275564229688,-0.5702154959520316,0.003782062843240695,0.00875850638764718,0.5112006230358092,0.5,
26,메디톡스,086900,27.1,0.08165584733631914,-0.16435185003457975,0.06876279870292558,0.03446945850554371,0.28059656065322586,0.5,
27,엔켐,348370,25.0,-0.1446904455649105,0.5551976529625584,-0.2506015056318204,-0.14670142110136103,1.3024771256299792,0.5,
28,CJ ENM,035760,25.7,-0.01851315340872095,0.27191782925502506,0.02588128437295199,0.004937453586981795,1.5151377958998606,0.5,
29,하나마이크론,067310,53.6,0.22685534715090028,0.19567269345517824,0.08321673521659796,0.10047643821317694,2.0916413046531535,0.5,
30,디앤씨미디어,263720,66.2,0.03426259714378066,0.5969907129147585,0.20283079852374608,0.08345655973036961,0.22757932021662558,0.5,
