순위,종목,코드,기준,점수,매출성장,영업익성장,영업이익률,ROE,부채비율,BPS(원),비고
1,에코프로비엠,247540,2026H1,3.1,-0.26035686577536077,-0.6324287949635277,0.031231085297230135,-0.00021693556275246412,1.590691789479217,21412,
2,에코프로,086520,2026H1,30.1,-0.1182728301320134,1.0694335958315135,0.04087829327640696,0.01016739747989779,1.2454822235223821,187597,
3,HLB,028300,2026H1,25.0,0.7798829782777126,-0.023473275254873527,-0.8042360776862139,-0.19031148363600486,1.1493758117235555,634,
4,알테오젠,196170,2026H1,60.5,2.6954532337082484,-81.18066262967474,0.4961257742561319,0.054798772856794416,0.3520587840989141,10212,
5,리가켐바이오,141080,2026H1,35.0,-0.8303673385863488,2.340043658105979,-13.008853532593301,-0.1544755567510617,0.3473279629377353,2382,
6,클래시스,214150,2026H1,58.6,0.26693678964207,0.021623384282233316,0.41643892662524357,0.04597595089334643,0.39569158208614347,8375,
7,레인보우로보틱스,277810,2026H1,35.0,0.9786632753915063,-0.014411095505783456,-0.16466356971233206,,0.09068762854233009,1370,
8,파마리서치,214450,2026H1,75.5,0.2709483210568362,0.18955636375354268,0.3719523059646182,0.07127733667067306,0.40349265791500183,15012,
9,리노공업,058470,2026H1,86.2,0.2725275534181377,0.37551924604666675,0.5134092005332475,0.08486873196535427,0.10312111124228311,50961,
10,주성엔지니어링,036930,2026H1,13.3,-0.24000336537416955,-0.7835535506425956,0.023767352018495808,0.009293085698509545,0.46370851497916965,12268,
11,솔브레인,357780,2026H1,79.1,0.36335502974598954,1.2816851834997411,0.14751869587005625,0.04331520326130462,0.21986168412245977,168613,
12,휴젤,145020,2026H1,55.0,0.2507065658054526,-0.011291051372196215,0.40630206309685696,0.04112530870930235,0.09573646245797741,82567,
13,덴티움,145720,2026H1,36.0,0.08623903826354562,-0.05487034366303989,0.16439953203295415,0.023359403353469452,0.6595707287411068,48075,
14,엘앤에프,066970,2026H1,34.1,0.7017605090595875,-1.1718734898027938,0.023534482249062502,0.06790652614785475,3.727469710742075,19157,
15,카카오게임즈,293490,2026H1,25.0,-0.35219634307782344,1.6729624698745358,-0.3069320821955044,-0.04440888537926872,1.149314615190357,11959,
16,씨젠,096530,2026H1,69.4,0.19200047551658095,5.863648304446082,0.15875852723529552,0.024970079741871973,0.21806068545580398,39805,
17,셀트리온제약,068760,2026H1,59.9,0.16750647455929135,0.2437398879535746,0.12594145308506763,0.030545485036864134,0.7346010855947215,20165,
18,JYP Ent.,035900,2026H1,30.2,-0.1514569078507234,-0.414121037177804,0.16925503401090472,0.03316216138450739,0.34007112720992444,18183,
19,에스엠,041510,2026H1,49.3,0.15425505595910582,0.11067734972558618,0.15124104733373686,0.02104505975032994,0.4498607074423597,58148,
20,펄어비스,263750,2026H1,89.5,2.4776830736807463,73.88051969121949,0.351099714863792,0.09515996245447039,0.2241013038629205,78966,
21,피에스케이홀딩스,031980,2026H1,84.5,0.36545086772917346,0.6325566752688339,0.29152426013903526,0.04537848553344559,0.1963769325236867,24922,
22,원익IPS,240810,2026H1,26.9,-0.10611196418246172,-0.4956743074943467,0.08492298217166722,0.08377241108264262,0.3911487892303263,21872,
23,포스코DX,022100,2026H1,16.3,-0.14760943260895043,-0.4227342458126605,0.042397156855929416,0.020837261761488503,0.45104178967103525,746,
24,에스티팜,237690,2026H1,79.0,0.5894884787038006,0.4170757576936164,0.1687535109195672,0.020905323939969602,0.34807348352249184,30133,
25,컴투스,078340,2026H1,39.6,-0.1504145570444413,4.2068183792366,0.04559841835896318,-0.0033963940534747147,0.485983623123249,80262,
26,메디톡스,086900,2026H1,27.3,0.11443932467567985,-0.24579446558688955,0.06935183833315545,0.008245035296935436,0.5075073489636187,49017,
27,엔켐,348370,2026H1,25.0,0.5969478098095606,-13.236421322039694,-0.11306000953108035,-0.06211413371199433,1.3756230719868987,20395,
28,CJ ENM,035760,2026H1,17.5,-0.0834772812939677,0.16904827145727164,0.02779650574021491,0.006331800672582142,1.5253409015106032,15888,
29,하나마이크론,067310,2026H1,80.3,1.0082365818420467,3.7105019217759203,0.2083291125222812,0.10290930740150735,1.9444426869448113,12443,
30,디앤씨미디어,263720,2026H1,26.3,-0.3513798098038631,-0.4969845829903963,0.14117127043056402,0.022074068592848068,0.17159341700357683,1566,
