순위,종목,코드,점수,매출성장,영업익성장,영업이익률,ROE,부채비율,순익상승추세,비고
1,삼성전자,005930,67.5,0.10880093313642902,0.3323077357453308,0.1306962677624761,0.10360920902937422,0.2993712690499687,1.0,
2,SK하이닉스,000660,100.0,0.46762850611303675,1.0115769935202228,0.4859283037736495,0.35592159102717535,0.4594547175634156,1.0,
3,삼성전자우,005935,,,,,,,,N/A(금융주/조회실패)
4,SK스퀘어,402340,75.0,-0.14445909890426933,1.2438696980370842,6.232582441210581,0.3151428950329882,0.09010357406702023,1.0,
5,삼성전기,009150,54.0,0.09912046382290662,0.2426175517717175,0.08072247726002438,0.07461098905557541,0.489780845704352,1.0,
6,LG에너지솔루션,373220,31.0,-0.07602878813220437,1.3395036731799639,0.05686607404206844,0.0027557428845472543,1.290044846004028,0.0,
7,현대차,005380,19.5,0.06290730164858305,-0.19465031020551715,0.061570876000228335,0.08119794870335734,1.8895412711418804,0.5,
8,삼성바이오로직스,207940,100.0,0.30305458155128506,0.5659708745648646,0.45407814773540434,0.23947464276020936,0.48444205157900194,1.0,
9,KB금융,105560,14.5,,0.05872401156407481,,0.09601703199387394,12.117264134307176,1.0,
10,삼성생명,032830,51.5,0.907724717071126,0.03229041612544603,4.887631425925119,0.03781141321771569,4.408868373252985,1.0,
11,삼성물산,028260,33.5,-0.03232523492144135,0.10369080368492622,0.08081900793282297,0.06794538849874998,0.5049971623578309,1.0,
12,두산에너빌리티,034020,10.4,0.05081119974028292,-0.2504795597484277,0.044713187034540525,0.01708357724010502,1.2909797100097673,0.0,
13,한화에어로스페이스,012450,74.7,1.3756772813364018,0.7837969587739488,0.11569230445009013,0.13116266761543044,2.2137881884267134,0.5,
14,신한지주,055550,15.7,,0.08743084876607732,,0.08421936846426518,12.019433954538506,1.0,
15,HD현대중공업,329180,69.5,0.2135912494802117,1.8891693939806027,0.11589514855437497,0.15152452681125933,1.8006966950627112,1.0,
16,기아,000270,35.5,0.06228240789618478,-0.2833308294793323,0.07953456200926505,0.12345345183197173,0.6175568631086046,0.5,
17,삼성SDI,006400,10.0,-0.2004260078341792,-5.74081923819682,-0.12982556368778586,-0.024814278767689144,0.7927507727427375,0.0,
18,SK,034730,5.6,-0.0056428919594589955,-0.24103736140453969,0.014820102123057158,0.04148897901987406,1.491729974798502,1.0,
19,셀트리온,068270,75.1,0.1701264863287748,1.374866773176897,0.28071416663096554,0.059442847814836164,0.28712645491021516,0.5,
20,하나금융지주,086790,45.0,0.09146726823614593,0.1021003950006405,5.251394575581875,0.0884344179501031,13.77889119277641,1.0,
21,현대모비스,012330,36.3,0.06780810208502386,0.09240412096350159,0.054933882381572326,0.0744671380684637,0.43053309611860086,0.5,
22,LG전자,066570,8.5,0.016787079891841472,-0.27525510465175784,0.027784388948082373,0.042743448144220944,1.4033380119273502,0.5,
23,NAVER,035420,54.3,0.1208159686758814,0.11563642585579292,0.1834762828591027,0.06281716818382105,0.4190058840693555,0.5,
24,LS ELECTRIC,010120,37.3,0.09094378325776953,0.09414526229144204,0.08586879601894261,0.1327496780080869,1.3148008102054662,1.0,
25,삼성화재,000810,36.9,0.08580095420063816,0.003602931024980549,0.5066488404744164,0.09488310543020852,3.529807853455423,0.5,
26,HD현대일렉트릭,267260,84.0,0.22789557908701763,0.4878281180840842,0.24397941146236463,0.3599801364316374,1.3462705751192166,1.0,
27,효성중공업,298040,75.8,0.21931286530979555,1.0607191408183723,0.12515153949107816,0.2019654718710888,1.903089595302959,1.0,
28,POSCO홀딩스,005490,13.5,-0.04943388028786333,-0.15941954494685406,0.026442813810144634,0.008086279948446802,0.6863791559793884,0.0,
29,한화오션,042660,69.7,0.18629421172882776,3.9083904054720806,0.09133562924704836,0.20176844156665863,2.2616827848150116,1.0,
30,HD한국조선해양,009540,69.7,0.1720784133642248,1.7226242693756038,0.13044003286616931,0.17319222600192308,1.3386200702627968,1.0,
