순위,종목,코드,기준,점수,매출성장,영업익성장,영업이익률,ROE,부채비율,BPS(원),비고
1,삼성전자,005930,2026H1,92.4,1.2999589747740927,18.13843479666736,0.5218232569465083,0.12363760518303513,0.3110095471631653,74457,
2,SK하이닉스,000660,2026H1,100.0,2.5677814525688074,5.571538821153191,0.7632824654086185,0.3575371687921852,0.32802134511057895,359101,
3,LG에너지솔루션,373220,2026H1,22.2,0.24835502443871693,-0.7697857806115503,0.014986543432630327,-0.010851119721287047,1.5713539274935844,129430,
4,삼성바이오로직스,207940,2026H1,79.2,0.30236796298082735,0.22892125235999394,0.4439692763800184,0.05150181036451854,0.5131233336992261,36128,
5,현대자동차,005380,2026H1,9.5,0.019232033713978636,-0.20843781244820003,0.05792683125062176,0.021326523525263125,1.91332538673571,454725,
6,POSCO홀딩스,005490,2026H1,48.5,0.09701167655748288,0.3488984482670776,0.042526971258228616,0.011865286198647122,0.7099013062722516,665037,
7,기아,000270,2026H1,32.0,0.12563767828799244,-0.04926529044410988,0.07956396234470657,0.03598345171366686,0.6514242647725813,151191,
8,NAVER,035420,2026H1,41.2,0.16248926358853732,-0.002386208861468342,0.15353992795953425,0.02269665424758882,0.4391549558832685,188168,
9,셀트리온,068270,2026H1,82.1,0.44956276422182007,0.8633128591461887,0.3241687070307599,0.020573688196229307,0.3133280576768509,72033,
10,KB금융,105560,2026H1,25.9,,0.2717228691810625,,0.03206458657612852,12.825582373028968,149964,
11,삼성물산,028260,2026H1,60.8,0.1968633708370855,0.3708694462854043,0.08601344110257862,0.008051665142224333,0.4402463144753447,614080,
12,LG화학,051910,2026H1,41.7,0.19040469675706495,0.2575700056419796,0.042296288609803355,0.0013666203930709473,1.2960438459490524,624300,
13,신한지주,055550,2026H1,22.1,,0.2293768868620043,,0.029537072833121427,12.450054870643319,105265,
14,하나금융지주,086790,2026H1,8.1,,0.06767596004076815,,0.024894878241970623,13.72661907033796,161360,
15,SK텔레콤,017670,2026H1,41.4,0.004678064700513573,0.6733962041033525,0.129854461641589,0.030072928691379716,1.092943084410654,254075,
16,카카오,035720,2026H1,56.2,0.0943881491578562,0.3585887241703467,0.13200959297939932,0.0011928583060942352,0.8358825964388495,33989,
17,한화에어로스페이스,012450,2026H1,70.0,0.47249625421988584,0.5851375041828146,0.14693901398066544,0.05339417670296507,1.9026843911476443,374322,
18,삼성SDI,006400,2026H1,32.6,0.18538118293609385,-1.512206482161898,0.05406870779652186,0.017574225008987067,0.77453798553806,322693,
19,두산에너빌리티,034020,2026H1,24.5,0.03409636331284105,0.15917759105294604,0.06651275565059998,0.01787141703028378,1.364329703833337,19384,
20,KT&G,033780,2026H1,57.4,0.09926591007317631,0.18454793330322805,0.24357221062826576,0.03724121318688191,0.5464779774143519,50906,
21,현대모비스,012330,2026H1,30.1,0.02437557263347112,0.12087126436781603,0.0597351399376748,0.020513553363506482,0.45993295148478747,526214,
22,HD현대,267250,2026H1,77.5,0.30203484750506115,2.6216246253604227,0.1840581807666459,0.09101825953120635,1.6014507876743345,214056,
23,SK이노베이션,096770,2026H1,37.2,0.4988389242781315,-9.684229436333746,0.11960324843226137,0.001942984224479266,1.697285242457454,215782,
24,포스코퓨처엠,003670,2026H1,31.8,0.028021075538496865,33.51170381032171,0.039279540796113524,0.005230509968445924,1.0376238133874038,52994,
25,LG전자,066570,2026H1,46.5,0.1490863192545293,1.4696154543919024,0.06627427951134007,0.024479319974678573,1.3089494569381472,176509,
26,LG,003550,2026H1,72.5,0.19016792119918913,0.9248796449118599,0.24909913994154106,0.016314134194769136,0.0980684407141855,204180,
27,SK,034730,2026H1,77.7,0.3991878171239984,22.12380947831985,0.1149266287531802,0.16224123972208718,1.0791831592914691,3647979,
28,삼성생명,032830,2026H1,0.5,,-0.3198468003849654,,0.004949529754661491,2.132336681172379,734783,
29,KT,030200,2026H1,12.1,-0.10063781944995898,-0.3611514576998043,0.09705509062606944,0.02351961709701568,1.1870894561942629,65297,
30,LG이노텍,011070,2026H1,67.1,0.4047873023134647,20.57250702247191,0.044462327588031716,0.026632842499905426,0.8715318966381936,269174,
